name,address,phone,email,region,city,lat,lon
Greffe des associations - Ardèche (Tournon-sur-Rhône),Service des associations 16 quai Marc Seguin 07300 Tournon-sur-Rhône Cedex France,04 75 07 07 70,sp-tournon@ardeche.gouv.fr,auvergne-rhone-alpes,ardeche,45.067795,4.83401
Greffes des associations - Pyrénées-Orientales (Prades),Service Association Sous Préfecture de Prades 177 avenue du Général-de-Gaulle 66500 Prades,04 68 51 67 80,sp-prades-associations@pyrenees-orientales.gouv.fr,occitanie,pyrenees-orientales,42.61572,2.421459
Greffe des associations - Vienne (arrondissement de Poitiers et de Montmorillon),Greffe des associations Poitiers et Montmorillon Sous-préfecture de Montmorillon 1 boulevard de Strasbourg 86500 Montmorillon France,05 49 47 25 23,pref-associations-poit@vienne.gouv.fr,nouvelle-aquitaine,vienne,46.58094,0.384778
Greffe des associations - Charente-Maritime (La Rochelle),Cité administrative Duperré 5 place des Cordeliers 17000 La Rochelle France,05 46 27 44 26,pref-associations@charente-maritime.gouv.fr,nouvelle-aquitaine,charente-maritime,46.163017,-1.144679
Greffe des associations - Hauts-de-Seine (Antony),Greffe des associations Sous-préfecture d'Antony 99 avenue du Général-de-Gaulle 92161 Antony Cedex France,"01 56 45 38 11
01 40 97 20 00",sp-antony@hauts-de-seine.gouv.fr,ile-de-france,hauts-de-seine,48.761677,2.3000436
Greffe des associations - Pyrénées-Orientales (Perpignan),Service Associations Préfecture des Pyrénées-Orientales 24 quai Sadi-Carnot 66100 Perpignan France,"04 68 51 66 66
04 68 51 66 37",pref-associations@pyrenees-orientales.gouv.fr,occitanie,pyrenees-orientales,42.70003,2.893436
Greffe des associations - Val-d'Oise (Sarcelles),Sous-préfecture de Sarcelles Bureau des collectivités territoriales et des affaires réglementaires 1 boulevard François-Mitterrand 95200 Sarcelles France,01 34 04 30 51,associations-sarcelles@val-doise.pref.gouv.fr,ile-de-france,val-d-oise,48.98977,2.3751588
Greffe des associations - Charente-Maritime (Saintes),Bureau des associations 12 place du Synode 17100 Saintes France,05 46 27 46 87,sp-saintes@charente-maritime.gouv.fr,nouvelle-aquitaine,charente-maritime,45.744873,-0.6334421
Greffe des associations - Vendée (La Roche-sur-Yon),Greffe des associations Préfecture de la Vendée 29 rue Delille 85922 La Roche-sur-Yon Cedex 9 France,02 51 36 70 85,prefecture@vendee.gouv.fr,pays-de-la-loire,vendee,46.66758,-1.427903
Greffe des associations - La Réunion (Saint-Paul),Greffe des associations Sous-préfecture de Saint-Paul 5 rue Évariste-de-Parny 97415 Saint-Paul Cedex France,02 62 35 89 50,associations@reunion.pref.gouv.fr,la-reunion,la-reunion,-21.008406,55.270683
Greffe des associations - Guadeloupe (Pointe-Ã -Pitre),Bergevin 35 rue de la Ville-dâ€™Orly 97110 Pointe-Ã -Pitre France,06 90 29 55 00,ass.@gmail.com,guadeloupe,guadeloupe,16.246058,-61.54165
Greffe des associations - Nièvre (Château-Chinon),Sous-préfecture de Château-Chinon 1 rue du Marché 58120 Château-Chinon France,03 86 79 48 48,sp-chateau-chinon@nievre.gouv.fr,bourgogne-franche-comte,nievre,47.064285,3.934082
Greffe des associations - Eure-et-Loir (Nogent-le-Rotrou),Sous-préfecture de Nogent-le-Rotrou Bureau des associations 45 rue Saint-Laurent 28401 Nogent-le-Rotrou France,02 37 27 71 56,pref-associations@eure-et-loir.gouv.fr,centre-val-de-loire,eure-et-loir,48.31649,0.81665
Greffe des associations - Haute-Vienne (Rochechouart),Greffe des associations Sous-préfecture de Rochechouart 2 place des Halles 87600 Rochechouart France,"05 87 03 11 30
05 55 43 83 10",sp-rochechouart@haute-vienne.gouv.fr,nouvelle-aquitaine,haute-vienne,48.88364,2.349199
Greffe des associations - Haute-Garonne (Muret),Sous-préfecture de Muret Service des associations 10 allées Niel 31600 Muret,05 34 45 34 45,pref-public-associations@haute-garonne.gouv.fr,occitanie,haute-garonne,43.459015,1.3261784
Greffe des associations - Marne (Vitry-le-François),Sous-préfecture de Vitry-le-François 4 rue Maitre-Edmé 51300 Vitry-le-François France,03 26 74 00 54,sp-vitry-le-francois@marne.gouv.fr,grand-est,marne,48.723637,4.585693
Greffe des associations - Ille-et-Vilaine (Rennes),Préfecture d'Ille-et-Vilaine 81 Boulevard d'Armorique 35026 Rennes Cedex 9 France,02 21 86 25 35,pref-associations@ille-et-vilaine.gouv.fr,bretagne,ille-et-vilaine,48.130707,-1.67486
Greffe des associations - Hauts-de-Seine (Nanterre),Greffe des associations 1901 Préfecture des Hauts-de-Seine 167-177 avenue Joliot-Curie 92013 Nanterre Cedex France,01 40 97 45 78,pref-associations1901@hauts-de-seine.gouv.fr,ile-de-france,hauts-de-seine,48.896748,2.2167718
Greffe des associations - Bas-Rhin (Sélestat),Service des associations Tribunal d'instance de Sélestat 17 allée de la 1ère-Armée 67600 Sélestat France,03 88 57 40 50,associations.tprx-selestat@justice.fr,grand-est,bas-rhin,48.259384,7.454241
Greffe des associations - Saône-et-Loire (Charolles),Greffe des associations Sous-préfecture de Charolles 28 rue de la Madeleine 71120 Charolles France,"03 85 88 02 53
03 85 21 81 00",spref-charolles.pref71@saone-et-loire.gouv.fr,bourgogne-franche-comte,saone-et-loire,46.43213,4.277328
Greffe des associations - Yvelines (Saint-Germain-en-Laye),Greffe des associations Sous-préfecture de Saint-Germain-en-Laye 1 rue du Panorama 78100 Saint-Germain-en-Laye France,01 30 61 34 00,pref-stgermain-assoc1901@yvelines.gouv.fr,ile-de-france,yvelines,48.892845,2.0810297
Greffe des associations - Saône-et-Loire (Autun),Greffe des associations Sous-préfecture d'Autun 21 rue de l'Arquebuse 71400 Autun France,"03 85 86 93 10
03 85 21 81 00",sp-autun-pref71@saone-et-loire.gouv.fr,bourgogne-franche-comte,saone-et-loire,46.95071,4.303233
Greffe des associations - Saône-et-Loire (Chalon-sur-Saône),Greffe des associations Sous-préfecture de Chalon-sur-Saône 28 rue Général-Leclerc 71100 Chalon-sur-Saône France,"03 85 21 81 00
03 85 42 55 55",pref-associations@saone-et-loire.gouv.fr,bourgogne-franche-comte,saone-et-loire,46.782566,4.853685
Greffe des associations - Haute-Saône (Vesoul),Service des Associations Préfecture de la Haute-Saône 1 rue de la Préfecture 70000 Vesoul France,03 84 77 70 74,pref-associations@haute-saone.gouv.fr,bourgogne-franche-comte,haute-saone,47.623165,6.153385
Greffe des associations - Maine-et-Loire (Segré-en-Anjou Bleu),Sous-préfecture de Segré 2 rue Lamartine 49500 Segré-en-Anjou Bleu France,"02 41 94 70 60
02 41 81 80 80",sp-segre@maine-et-loire.gouv.fr,pays-de-la-loire,maine-et-loire,47.682034,-0.869632
Greffe des associations - Lozère (Florac-Trois-Rivières),Sous-préfecture de Florac 14 esplanade Marceau-Farelle 48400 Florac-Trois-Rivières France,"04 66 65 62 76
04 66 65 62 80",sp-florac@lozere.gouv.fr,occitanie,lozere,44.325207,3.593608
Greffe des associations - Vienne (arrondissement de Châtellerault),Greffe des associations Sous-préfecture Châtellerault 2 rue Choisnin 86100 Châtellerault France,05 49 47 24 64,sp-chatellerault@vienne.gouv.fr,nouvelle-aquitaine,vienne,46.816566,0.548181
Greffe des associations - Bas-Rhin (Strasbourg),Tribunal Judiciaire de Strasbourg 45 rue du Fossé-des-Treize 67000 Strasbourg France,03 88 15 59 29,associations.tj-strasbourg@justice.fr,grand-est,bas-rhin,48.5902,7.745914
Greffe des associations - Côtes-d'Armor (Saint-Brieuc),Préfecture des Côtes-d'Armor Greffe des associations 1 place du Général-de-Gaulle 22000 Saint-Brieuc France,02 21 27 31 35,greffe-associations@cotes-darmor.gouv.fr,bretagne,cotes-d-armor,48.513874,-2.764382
